# GalaxyName, RA[h m s], Dec[deg ' ''], (m-M)o, (m-M)err+, (m-M)err-, Vmag, Vmag_err+, Vmag_err-, D_m31_savino_kpc, D_m31_savino_err+, D_m31_savino_err+
AndromedaXXIII       1.00   29.00   21.80   38.00   43.00    8.00   24.43    0.13    0.13   14.20    0.50    0.50  128.10   10.00   -4.90
AndromedaXX          0.00    7.00   30.70   35.00    7.00   56.00   24.35    0.12    0.16   18.20    0.80    0.80  128.40   12.00   -5.50
AndromedaXIII        0.00   51.00   51.00   33.00    0.00   16.00   24.62    0.05    0.05   18.10    1.20    1.20  126.40   16.00   -8.00
AndromedaX           1.00    6.00   33.70   44.00   48.00   16.00   24.13    0.08    0.13   16.60    1.00    1.00  162.20   25.00  -24.00
AndromedaXXI        23.00   54.00   47.70   42.00   28.00   15.00   24.59    0.06    0.07   14.80    0.60    0.60  124.40    5.10   -3.80
AndromedaXXXII       0.00   35.00   59.40   51.00   33.00   35.00   24.45    0.14    0.14   12.20    0.70    0.70  146.80    7.80   -4.20
NGC147               0.00   33.00   12.10   48.00   30.00   32.00   24.15    0.09    0.09    9.50    0.10    0.10  107.00   15.00   -8.00
AndromedaXXX         0.00   36.00   34.90   49.00   38.00   48.00   24.17    0.10    0.26   16.20    0.30    0.30  238.60   24.00  -24.00
AndromedaXIV         0.00   51.00   35.00   29.00   41.00   49.00   24.50    0.06    0.56   15.90    0.50    0.50  160.80    3.80   -4.20
AndromedaXII         0.00   47.00   27.00   34.00   22.00   29.00   24.84    0.09    0.34   18.30    1.20    1.20  107.70   20.00  -13.00
AndromedaXV          1.00   14.00   18.70   38.00    7.00    3.00   23.98    0.26    0.12   14.60    0.30    0.30   95.80   12.00   -4.80
AndromedaII          1.00   16.00   29.80   33.00   25.00    9.00   24.07    0.06    0.06   11.50    0.20    0.20  168.90   19.00  -16.00
NGC185               0.00   38.00   58.00   48.00   20.00   15.00   23.95    0.09    0.09    9.20    0.10    0.10  154.10   23.00  -21.00
AndromedaXXIX       23.00   58.00   55.60   30.00   45.00   20.00   24.32    0.22    0.22   16.00    0.40    0.40  189.10   12.00   -8.80
Triangulum           1.00   33.00   50.90   30.00   39.00   37.00   24.54    0.06    0.06    5.70    0.10    0.10  226.70   15.00  -11.00
AndromedaXXIV        1.00   18.00   30.00   46.00   21.00   58.00   23.89    0.12    0.12   16.30    0.50    0.50  194.50   25.00  -24.00
AndromedaVII        23.00   26.00   31.70   50.00   40.00   33.00   24.41    0.10    0.10   11.20    0.30    0.30  230.80    8.40   -6.50
IC10                 0.00   20.00   17.30   59.00   18.00   14.00   24.50    0.12    0.12    9.50    0.20    0.20   -1.00   -1.00   -1.00
AndromedaXXXI       22.00   58.00   16.30   41.00   17.00   28.00   24.40    0.12    0.12   12.70    0.70    0.70  261.40    6.90   -5.90
LGS3                 1.00    3.00   55.00   21.00   53.00    6.00   24.43    0.07    0.07   14.30    0.10    0.10   -1.00   -1.00   -1.00
AndromedaVI         23.00   51.00   46.30   24.00   34.00   57.00   24.47    0.07    0.07   13.00    0.20    0.20  281.60    8.60   -7.10
AndromedaXXII        1.00   27.00   40.00   28.00    5.00   25.00   24.82    0.07    0.36   18.00    0.80    0.80  216.80    5.70   -5.60
AndromedaXVI         0.00   59.00   29.80   32.00   22.00   36.00   23.39    0.19    0.14   14.40    0.30    0.30  280.00   26.00  -27.00
AndromedaXXVIII     22.00   32.00   41.20   31.00   12.00   58.00   24.10    0.50    0.20   15.60    0.40    0.90  368.80    7.80   -7.30
AndromedaXXXIII      3.00    1.00   23.60   40.00   59.00   18.00   24.44    0.18    0.18   14.10    0.70    0.70  340.30   10.00   -8.70
IC1613               1.00    4.00   47.80    2.00    7.00    4.00   24.39    0.12    0.12    9.20    0.10    0.10  511.10   10.00   -9.80
Phoenix              1.00   51.00    6.30  -44.00   26.00   41.00   23.09    0.10    0.10   13.20    0.40    0.40   -1.00   -1.00   -1.00
Eridanus2            3.00   44.00   21.10  -43.00   32.00    0.00   22.90    0.20    0.20   15.69    0.09    0.09   -1.00   -1.00   -1.00
NGC6822             19.00   44.00   56.60  -14.00   47.00   21.00   23.31    0.08    0.08    8.10    0.20    0.20   -1.00   -1.00   -1.00
Cetus                0.00   26.00   11.00  -11.00    2.00   40.00   24.39    0.07    0.07   13.10    0.20    0.20   -1.00   -1.00   -1.00
PegasusdIrr         23.00   28.00   36.30   14.00   44.00   35.00   24.82    0.07    0.07   12.60    0.20    0.20  458.20   11.00   -9.40
LeoT                 9.00   34.00   53.40   17.00    3.00    5.00   23.10    0.10    0.10   15.50    0.14    0.14   -1.00   -1.00   -1.00
WLM                  0.00    1.00   58.20  -15.00   27.00   39.00   24.85    0.08    0.08   10.60    0.10    0.10   -1.00   -1.00   -1.00
AndromedaXVIII       0.00    2.00   14.50   45.00    5.00   20.00   25.42    0.07    0.08   16.00  999.00  999.00   -1.00   -1.00   -1.00
LeoA                 9.00   59.00   26.50   30.00   44.00   47.00   24.51    0.12    0.12   12.40    0.20    0.20   -1.00   -1.00   -1.00
Aquarius            20.00   46.00   51.80  -12.00   50.00   53.00   25.15    0.08    0.08   14.50    0.10    0.10   -1.00   -1.00   -1.00
Tucana              22.00   41.00   49.60  -64.00   25.00   10.00   24.74    0.12    0.12   15.20    0.20    0.20   -1.00   -1.00   -1.00
SagittariusdIrr     19.00   29.00   59.00  -17.00   40.00   51.00   25.14    0.18    0.18   13.60    0.20    0.20   -1.00   -1.00   -1.00
UGC4879              9.00   16.00    2.20   52.00   50.00   24.00   25.67    0.04    0.04   13.20    0.20    0.20   -1.00   -1.00   -1.00
AntliaB              9.00   48.00   56.10  -25.00   59.00   24.00   25.56    0.16    0.16   15.90    0.60    0.60   -1.00   -1.00   -1.00
NGC3109             10.00    3.00    6.90  -26.00    9.00   35.00   25.57    0.08    0.08   10.70    0.10    0.10   -1.00   -1.00   -1.00
SextansB            10.00    0.00    0.10    5.00   19.00   56.00   25.77    0.03    0.03   11.30    0.20    0.20   -1.00   -1.00   -1.00
Antlia              10.00    4.00    4.10  -27.00   19.00   52.00   25.65    0.10    0.10   15.20    0.20    0.20   -1.00   -1.00   -1.00
SextansA            10.00   11.00    0.80   -4.00   41.00   34.00   25.78    0.08    0.08   11.50    0.10    0.10   -1.00   -1.00   -1.00
HIZSS3(A)            7.00    0.00   29.30   -4.00   12.00   30.00   26.12    0.14    0.14  999.00  999.00  999.00   -1.00   -1.00   -1.00
HIZSS3B              7.00    0.00   29.30   -4.00   12.00   30.00   26.12    0.14    0.14  999.00  999.00  999.00   -1.00   -1.00   -1.00
LeoP                10.00   21.00   45.10   18.00    5.00   17.00   26.05    0.20    0.20   16.90    0.10    0.10   -1.00   -1.00   -1.00
ESO410-G005          0.00   15.00   31.60  -32.00   10.00   48.00   26.42    0.04    0.04   14.90    0.30    0.30   -1.00   -1.00   -1.00
KKR25               16.00   13.00   48.00   54.00   22.00   16.00   26.42    0.07    0.07   15.50    0.20    0.20   -1.00   -1.00   -1.00
NGC55                0.00   14.00   53.60  -39.00   11.00   48.00   26.43    0.12    0.12    7.90    0.10    0.10   -1.00   -1.00   -1.00
ESO294-G010          0.00   26.00   33.40  -41.00   51.00   19.00   26.54    0.04    0.04   15.30    0.30    0.30   -1.00   -1.00   -1.00
NGC300               0.00   54.00   53.50  -37.00   41.00    4.00   26.59    0.06    0.06    8.10    0.10    0.10   -1.00   -1.00   -1.00
IC5152              22.00    2.00   41.50  -51.00   17.00   47.00   26.45    0.05    0.05   10.90  999.00  999.00   -1.00   -1.00   -1.00
KKH98               23.00   45.00   34.00   38.00   43.00    4.00   27.01    0.09    0.09   15.20    0.30    0.30   -1.00   -1.00   -1.00
UKS2323-326         23.00   26.00   27.50  -32.00   23.00   20.00   26.72    0.09    0.09   13.50    0.20    0.20   -1.00   -1.00   -1.00
KK258               22.00   40.00   43.90  -30.00   47.00   59.00   26.85    0.07    0.07   16.30  999.00  999.00   -1.00   -1.00   -1.00
KKR3                14.00    7.00   10.50   35.00    3.00   37.00   26.70    0.12    0.12   17.20    0.30    0.30   -1.00   -1.00   -1.00
KKs3                 2.00   24.00   44.40  -73.00   30.00   51.00   26.63    0.07    0.07   14.50    0.10    0.10   -1.00   -1.00   -1.00
GR8                 12.00   58.00   40.40   14.00   13.00    3.00   26.69    0.12    0.12   14.50    0.20    0.20   -1.00   -1.00   -1.00
UGC9128             14.00   15.00   56.50   23.00    3.00   19.00   26.80    0.04    0.04   14.40    0.30    0.30   -1.00   -1.00   -1.00
UGC8508             13.00   30.00   44.40   54.00   54.00   36.00   27.06    0.03    0.03   13.70    0.10    0.10   -1.00   -1.00   -1.00
